website,type,2nd type,3rd type,Source Notes (things to know?)
100percentfedup.com,bias,,,
365usanews.com,bias,conspiracy,,
4threvolutionarywar.wordpress.com,bias,conspiracy,,
aheadoftheherd.com,bias,,,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals"
americablog.com,bias,clickbait,,domain for sale
americanlookout.com,bias,clickbait,,
americanpatriotdaily.com,bias,clickbait,bias,
americanthinker.com,bias, ,,"sites both reliable/not reliable sources, mix of opinion/'fact'"
americasfreedomfighters.com,bias,clickbait,,
AmmoLand.com,bias,,, 
anotherdayintheempire.com,bias,conspiracy,,
antiwar.com,bias,unreliable,,site is biased but very open about bias and source
antoniusaquinas.wp.com,bias,conspiracy,,
bignuggetnews.com,bias,rumor,,
BrotherJohnF.com,bias,conspiracy,,
centerforsecuritypolicy.org,bias,conspiracy,,http://www.bbc.com/news/world-us-canada-35037943 ; 
charismanews.com,bias,,,"minimal factual reporting despite being ""news'"
citizensunited.org,bias,,,loaded language etc.
conservapedia.com,bias, , ,
conservativefiringline.com,bias,conspiracy,clickbait,
conservativehq.com,bias,,,http://conservativehq.com/article/24945-f-bomb-opposition-president-trump
conservativepapers.com,bias,,,"incorrect/uncited data, citing other sources labeled as bias"
conservativespirit.com,bias,fake,,
conservativestate.com,bias,,,"links to other borderline fake, but mostly just propagandistic websites"
conservativetribune.com,bias,conspiracy,unreliable,
countercurrentnews.com,bias,,,
counterjihad.com,bias,,,
cowgernation.com,bias,conspiracy,,
dailynewsbin.com,bias,clickbait,,
dailypoliticsusa.com,bias,,,
dailysignal.com,bias,,,
dailytelegraph.com.au,bias,rumor,,australian tabloid mag
dailywire.com,bias,,,
darkpolitricks.com,bias,conspiracy,,
DeadlyClear.wordpress.com,bias,fake news,,"Not a personal website, owned by Project Maui, Inc. Makes unverifiable extraordinary claims, seems to be advertising for lawyers with a history of legal reprimands."
debunkingskeptics.com,bias,conspiracy,,Science doesn't mean what they think it means
defenddemocracy.press,bias,political,,"editorial board as stated on about us seem to be legitimate academics, and originally authored content byline are academics, although not able to find a clear link between edu pages and these authors' work on this website. Many 3rd party articles are linked, sources provided. These articles are aggregated from other more clearly biased sites i.e. world socialist web site (wswg.org), rt.com, sputniknews.com."
DollarVigilante.com,bias,,,anarcho-capitalist blog
EagleRising.com,bias,clickbait,,
elelephantintheroom.blogspot.com,bias,,,
endingthefed.com,bias, ,,
endtime.com,bias,clickbait,Political,Not sure about this one. zany religious prophecy/not really conspiracy
extraclubmagazine.com,bias,clickbait,fake,vacillates between outright fake and misleading stories
federalistpress.com,bias,,,
firearmscoalition.org,bias,blog,,"A single-issue blog, it hasn't been updated since August 2016. It talks about guns, has lots of dead links, and has trouble distinguishing between legitimate and illegitimate sources."
freakoutnation.com,bias,,,
FreeBeacon.com,bias,,,
FreedomsPhoenix.com,bias,conspiracy,,
freedomworldnews.com,bias,unreliable,,
frontpagemag.com,bias,hate,,Part of David Horowitz' Freedom Center
gulagbound.com,bias, ,,
heartland.org,bias,,,http://www.sourcewatch.org/index.php/Heartland_Institute
heresyblog.net,bias,conspiracy,rumor,
horowitzfreedomcenter.org,bias,,,
ihavethetruth.com,bias,clickbait,fake,
ilovemyfreedom.org,bias,clickbait,,
informetoday.com,bias,unreliable,,
instaworldnews.com,bias,,,
intrepidreport.com,bias,,,
investmentwatchblog.com,bias,fake,,
jamesrgrangerjr.com,bias,,,
journal-neo.org,bias,,,
katehon.com,bias,,,
lewrockwell.com,bias,unreliable,political,
libertyunyielding.com,bias,,,
lifeandabout.com,bias,,,
lifenews.com,bias,clickbait,,
liveactionnews.org,bias,,,
makeamericagreattoday.com,bias,fake,,
meanlefthook.com,bias,clickbait,,
molonlabemedia.com,bias,conspiracy,,
moonofalabama.org,bias,,,
newslogue.com,bias,fake,,
newsninja2012.com,bias, ,,
oathkeepers.org,bias,,,https://www.splcenter.org/fighting-hate/extremist-files/group/oath-keepers
occupyliberals.com,bias,clickbait,,
off-guardian.org,bias,conspiracy,,
oftwominds.com,bias,conspiracy,,
openmindmagazine.com,bias,conspiracy,,
orientalreview.org,bias,conspiracy,,
palmerreport.com,bias,,,
patdollar.com,bias,clickbait,,
patriotchronicle.com,bias,clickbait,,
patriotnewsdaily.com,bias,,,
patriotpost.us,bias, ,,https://mediabiasfactcheck.com/the-patriot-post/ ; https://patriotpost.us/posts/48002 ; https://patriotpost.us/alexander/48000
patriotrising.com,bias,conspiracy,,
patriotupdate.com,bias,conspiracy,,
paulcraigroberts.org,bias,conspiracy,,ex: http://www.paulcraigroberts.org/2016/12/10/has-liberty-departed-from-america-paul-craig-roberts/ 
platosguns.com,bias,conspiracy,bias,
politicalcult.com,bias,clickbait,conspiracy,
pravda.ru,bias,rumor,conspiracy,
pravdareport.com,bias,rumor,conspiracy,redirects to pravda.ru
presstv.com,bias,unreliable,,
presstv.ir,bias,unreliable,,redirects to presstv.com
progressivestoday.com,bias,,,https://mediabiasfactcheck.com/progressives-today/
projectveritas.com,bias,unreliable,political,
qpolitical.com,bias,clickbait,junksci,
readconservatives.news,bias,fake,clickbait,
reagancoalition.com,bias,fake,clickbait,
realtimepolitics.com,bias,unreliable,,
redflagnews.com,bias,conspiracy,unreliable,
redstatewatcher.com,bias,clickbait,,
regated.com,bias,,,
rightalert.com,bias,unreliable,,
rightwingnews.com,bias,unreliable,,
russia-insider.com,bias,clickbait,,
SJLendman.Blogspot.com,bias,,,
sputniknews.com,bias,state,fake,
thefederalistpapers.org,bias,conspiracy, ,
thegatewaypundit.com,bias,conspiracy,unreliable,
thenewamerican.com,bias,,,
thenewsdoctors.com,bias,,,
therealstrategy.com,bias,conspiracy,hate,black lives matter content spews a lot of racist info
thewatchtowers.com,bias,conspiracy,clickbait,
truepundit.com,bias,clickbait,,
truthandaction.org,bias,conspiracy,clickbait,
truthkings.com,bias,conspiracy,junksci,
truthrevolt.org,bias,hate,,
unclesamsmisguidedchildren.com,bias,,,
unz.com,bias,,,
usapoliticstoday.com,bias,unreliable,,
USAWatchdog.com,bias,,,
uschronicle.com,bias,conspiracy,hate,
usherald.com,bias,conspiracy,fake,
vdare.com,bias,hate,,
veteranstoday.com,bias,unreliable,,
washingtonsblog.com,bias,conspiracy,satire,Site notes it sometimes contains parody
wearechange.org,bias,conspiracy,,
westernjournalism.com,bias,clickbait,,
winningdemocrats.com,bias,unreliable, ,
wnd.com,bias,clickbait,unreliable,
worldnewspolitics.com,bias,,,
Youngcons.com,bias,unreliable,,
